x-axis,1,REF2
second,Volt,Volt
+1.27022500E-03,-3.28106156E-03,-3.28618546E-03
+1.27025000E-03,-3.23406875E-03,-3.34221068E-03
+1.27027500E-03,-3.20187567E-03,-3.38881906E-03
+1.27030000E-03,-3.28619481E-03,-3.36755068E-03
+1.27032500E-03,-3.17252525E-03,-3.32361339E-03
+1.27035000E-03,-3.17863449E-03,-3.33302118E-03
+1.27037500E-03,-3.25720379E-03,-3.33092537E-03
+1.27040000E-03,-3.25909729E-03,-3.36780033E-03
+1.27042500E-03,-3.12797680E-03,-3.42277900E-03
+1.27045000E-03,-3.13535028E-03,-3.33598897E-03
+1.27047500E-03,-3.23596586E-03,-3.40592295E-03
+1.27050000E-03,-3.30566135E-03,-3.37625625E-03
+1.27052500E-03,-3.34044894E-03,-3.38666475E-03
+1.27055000E-03,-3.31382660E-03,-3.45185203E-03
+1.27057500E-03,-3.38460965E-03,-3.54125828E-03
+1.27060000E-03,-3.49572569E-03,-3.48566423E-03
+1.27062500E-03,-3.42682107E-03,-3.47827838E-03
+1.27065000E-03,-3.51413513E-03,-3.63739580E-03
+1.27067500E-03,-3.49471955E-03,-3.70421094E-03
+1.27070000E-03,-3.57135886E-03,-3.81218945E-03
+1.27072500E-03,-3.69893357E-03,-3.79403328E-03
+1.27075000E-03,-3.81827336E-03,-3.85829581E-03
+1.27077500E-03,-3.87628283E-03,-3.96670850E-03
+1.27080000E-03,-3.83264766E-03,-4.00939330E-03
+1.27082500E-03,-3.90870416E-03,-4.01293999E-03
+1.27085000E-03,-3.95769027E-03,-4.01570034E-03
+1.27087500E-03,-4.03805024E-03,-4.13686851E-03
+1.27090000E-03,-4.10804845E-03,-4.19829984E-03
+1.27092500E-03,-4.12316085E-03,-4.21155885E-03
+1.27095000E-03,-4.14432702E-03,-4.21602002E-03
+1.27097500E-03,-4.11458343E-03,-4.20190774E-03
+1.27100000E-03,-4.13176089E-03,-4.21499488E-03
+1.27102500E-03,-4.11315034E-03,-4.20853739E-03
+1.27105000E-03,-4.08525803E-03,-4.22348125E-03
+1.27107500E-03,-4.07318638E-03,-4.16249796E-03
+1.27110000E-03,-3.96852059E-03,-4.09463808E-03
+1.27112500E-03,-3.98318102E-03,-4.08717264E-03
